is_there_an_emotion_directed_at_a_brand_or_product,tweet
Positive emotion,rtmention love it mention at #sxsw &quotapple comes up with cool technology no one's ever heard of because they don't go to conferences&quot
No emotion toward brand or product,12 billion miles a year driven with google navigation for mobile #sxsw
No emotion toward brand or product,definition of meeping  google messaging {link} #techi #sxsw
Positive emotion,ours is on order (2 week wait) rt mention have decided i need an ipad #usguys #sxsw
No emotion toward brand or product, mention party has good college party feel #sxsw
No emotion toward brand or product,30 million people go to google every month to get doctor information #vitalscom #sxsw
No emotion toward brand or product,mike tyson punchout todayfeels like 1985 just with iphone and facial tattoo  #sxsw time machine mention  {link}
Positive emotion,left brain search = google right brain search = x best session today covering semantic web and recommendations #sxsw {link}
Positive emotion,never seen so many apple products in my life #sxsw
Positive emotion,never seen so many heads turn at one point someone from #apple asks a question to reid hoffman #sxsw
Positive emotion,podcast on social business summit 2011 austin {link} mention mention #sxsw  listened to it on my new iphone  delight 
Positive emotion,rtmention t's not a rumor apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
No emotion toward brand or product,sitting on the floor at hyatt next to an outlet topping off my iphone charge like some kind of tech junkie #sxsw #sxsw11
Negative emotion,sitting on the floor behind a guy who's fondling his new ipad 2 in a very disturbing way #sxsw
Positive emotion,sitting on the ground waiting for my ipad at the austin #apple popup store at #sxsw what a geek i am  {link}
Positive emotion,windows in the scarborough building on corner of 6th &amp congress blacked out an apple pop-up store is being born #sxsw #welivehere
Positive emotion,i've taken the sxsw iphone and ipad apps for granted realizing just how amazing these apps are big applause to designers/devs #sxsw
No emotion toward brand or product,made it in time for the mention podcast strange that my iphone corrects mention to &quotnostalgic&quot #sxsw
No emotion toward brand or product,never been to #sxsw but this is the first year i don't want to go  jumped the shark rt mention it's not a rumor apple is opening up a temp
Positive emotion,are you in town for #sxsw be sure to check in with us using google places and foursquare for some kick ass deals #foursquare #googleplaces
Positive emotion,having fun w/ mention new check-in's feature on iphone | see mention latest article &quotroll your own 4square&quot {link} #sxsw
Positive emotion,mike tyson wants to be an iphone knockout | #sxsw - cnet blogs {link}
No emotion toward brand or product,| mention we interrupt your regularly scheduled #sxsw geek programming with big news {link} #google #circles | via mention
Positive emotion,rtmention what's going on at #sxsw today share photos video with ireport {link} or through #cnn iphone app
No emotion toward brand or product,rtmention what's going on at #sxsw today share photos video with ireport {link} or through cnn iphone app
Positive emotion,having fun with google analytics in our berklee topspin class   if you haven't used it before great info for marketing your music  #sxsw
No emotion toward brand or product,go here on your iphone to get txts of the 5 best #sxsw apps {link}
No emotion toward brand or product,hey austin know a little about #iphone or #android love music &amp wanna make $20/hour during #sxsw  please let me know
No emotion toward brand or product,correction our cab driver is well prepared for #sxsw - he's got a laptop a blackberry and iphone by his dashboard he got a regular cell 2
Positive emotion,those aren't apples rt mention woke up sandwiched between my iphone and ipad i forgot how much #sxsw was like geek spring break
No emotion toward brand or product,tlds haven't been a factor in google rankings (i remember from #smx that you shouldn't get wrapped up in edu or org domains) #sxsw
No emotion toward brand or product,most weren't even born yet rt mention google's #sxsw party theme is &quotparty like it's 1986&quot(mention maggie mae's) [pic] {link}
Positive emotion,no i didn't get an ipad 2 ( no i'm not at #sxsw ( yes i am depressed (
No emotion toward brand or product,if you don't have web pages why should you appear on google #qagb #sxsw
Positive emotion,lol i don't see a single pc user around meûójust macbooks and ipads web devs are definitely apple folks #sxsw #apple
No emotion toward brand or product,grouped{in} guy &quotdo you have an iphone ipad or ipod touch&quot me &quotall of those&quot (i had the decency to blush at least) #sxsw
Positive emotion,grouped{in} nice app for groups aber leider nur fì_r iphone  {link} #sxsw
No emotion toward brand or product,wait fiona apple is in town somebody kidnap her and put her in a recording studio until she records a new album #sxsw
No emotion toward brand or product,who's gonna get an ipad2 today or this weekend #ipad2 i bet the lines at the apple pop up store in austin for #sxsw will be huge
No emotion toward brand or product,now i wanna have their babies rt mention platform for flipboard is the iphone team started working on it #sxflip #sxsw #sxswi
No emotion toward brand or product,who's gonna leave #sxsw tomorrow at 5pm to go purchase #ipad2 map to store {link}
No emotion toward brand or product,mention nah i'm traveling to #sxsw but i called my apple guy
No emotion toward brand or product,google renames 'augmented reality' to 'contextual discovery' -  why #sxsw
Positive emotion,ipad 2 sync complete i'm live #livingthedream #sxsw
Positive emotion,testing #ncaa mmod ipad app during an #sxsw session flawless livesteam of bracket show at&ampt ad for atrix makes no sense on mute though
Negative emotion,grrrplancast stuff exported to google calendar in san diego/pacific time did not shift to central tme #wack #sxsw
Positive emotion,had to cancel my trip to austin #sxsw today/i'm under the weather found a great itunes mix of sxsw artists &amp it's free{link}
No emotion toward brand or product,ipad2 launch at apple pop-up store in austin texas for #sxsw {link}
Positive emotion,we all including me have this emotional thing with ipad #barrydiller #sxsw #pnid
Positive emotion,james franco is going over notes for his #sxsw speech ipad 2 vs android vs world he got an ipad days ago but feels like an expert already
No emotion toward brand or product,i also function as an ipad ûïmention there sure are a lot of ipads on this flight and mention #nerdsunite #sxswû
No emotion toward brand or product,÷¼ go beyond borders ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newtwitter
Positive emotion,crowley and cashmore think ipad 2 is a minor step up tell that to the people standing in line at #sxsw apple pop-up store #checkins
Positive emotion,wow demand for the ipad 2 is insatiable seems to be sold out everywhere in austin texas i suppose #sxsw being in town isn't helping
No emotion toward brand or product,"345 am and i just put the word &quotfood&quot into a google maps search off my phone

so yeah #sxsw"
No emotion toward brand or product,stop by and let us make you a custom iphone case #zazzlesxsw #sxsw #sxswi {link}  {link}
No emotion toward brand or product,swisher and mccue see clear flow from netscape to yahoo to google in terms of learning from the mistakes of prior #sxflip #sxsw
